Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
4001,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ  ,Yuke's Media Creations  ,,,0.51,0.3,0.01,0.12,0.94
4002,Destroy All Humans!,PS2,2005,Adventure,THQ  ,Pandemic Studios  ,,,0.78,0.03,,0.13,0.94
4003,MVP Baseball 2005,XB,2005,Sports,EA Sports  ,EA Canada  ,,,0.7,0.2,,0.03,0.94
4004,Tony Hawk: RIDE,Wii,2009,Sports,Activision  ,Buzz Monkey Software  ,4.3,,0.69,0.17,,0.08,0.94
4005,SaGa Frontier 2,PS,2000,Role-Playing,Square EA  ,SquareSoft  ,7.4,,0.1,0.07,0.71,0.06,0.94
4006,NBA 2K14,XOne,2013,Sports,2K Sports  ,Visual Concepts  ,,,0.72,0.12,,0.09,0.94
4007,NCAA Football 10,X360,2009,Sports,EA Sports  ,EA Tiburon  ,8.1,,0.87,,,0.07,0.94
4008,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.48,0.37,,0.08,0.94
4009,MLB 2000,PS,1999,Sports,Sony Computer Entertainment  ,989 Sports  ,,,0.52,0.35,,0.06,0.94
4010,EA Sports Active 2,PS3,2010,Sports,Electronic Arts  ,EA Vancouver  ,8.0,,0.54,0.27,,0.12,0.94
4011,The Sims 2,DS,2005,Simulation,Electronic Arts  ,Maxis  ,,,0.81,0.05,,0.07,0.94
4012,Prince of Persia: The Sands of Time,XB,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,,0.57,0.33,,0.04,0.94
4013,Hot Shots Golf Fore!,PS2,2004,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.46,0.36,,0.12,0.94
4014,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment  ,SCEA San Diego Studios  ,,,0.78,0.03,,0.13,0.94
4015,Sniper: Ghost Warrior,PC,2010,Shooter,City Interactive  ,City Interactive  ,5.4,,,0.13,,0.03,0.15
4016,NHL 2003,PS2,2002,Sports,EA Sports  ,EA Canada  ,,,0.46,0.36,,0.12,0.93
4017,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.27,0.51,,0.16,0.93
4018,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment America  ,SCE San Diego Studio  ,,,0.86,,,0.07,0.93
4019,Monster Trucks / Quad Desert Fury Double Value!,GBA,2005,Racing,Majesco  ,Skyworks Technologies  ,,,0.67,0.25,,0.02,0.93
4020,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision  ,Neversoft Entertainment  ,,,0.59,0.3,,0.04,0.93
4021,Kingdom Hearts Re:coded,DS,2011,Role-Playing,Square Enix  ,High Horse Entertainment  ,6.8,,0.53,0.09,0.27,0.05,0.93
4022,FIFA Street (2012),X360,2012,Sports,EA Sports  ,EA Canada  ,,,0.21,0.63,,0.1,0.93
4023,Guitar Hero: Metallica,Wii,2009,Misc,Activision  ,BudCat Creations  ,8.9,,0.4,0.43,,0.1,0.93
4024,Fallout 76,XOne,2018,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,5.1,,0.59,0.26,,0.09,0.93
4025,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,GBA,2005,Misc,THQ  ,Vicarious Visions  ,,,0.67,0.25,,0.02,0.93
4026,Monster High: Ghoul Spirit,DS,2011,Adventure,THQ  ,THQ  ,,,0.69,0.16,,0.07,0.93
4027,Spider-Man,2600,1982,Action,Parker Bros.  ,Parker Bros.  ,,,0.87,0.05,,0.01,0.93
4028,Castlevania II: Simon's Quest,NES,1988,Platform,Konami  ,Konami  ,,,0.45,0.06,0.42,,0.93
4029,Mega Man 4,NES,1992,Platform,Capcom  ,Capcom  ,,,0.51,0.09,0.32,0.01,0.93
4030,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision  ,Traveller's Tales  ,,,0.71,0.2,,0.01,0.93
4031,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory  ,Neko Entertainment  ,,,0.85,0.01,,0.07,0.93
4032,Bayonetta,X360,2010,Action,Sega  ,PlatinumGames  ,8.9,9.5,0.51,0.25,0.09,0.08,0.93
4033,Teenage Mutant Ninja Turtles,GBA,2003,Action,Konami  ,Konami  ,,,0.67,0.25,,0.02,0.93
4034,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,,,0.77,0.03,,0.13,0.93
4035,Cars,GC,2006,Racing,THQ  ,Rainbow Studios  ,7.6,,0.72,0.19,,0.03,0.93
4036,Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,0.6,0.18,,0.15,0.93
4037,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters  ,Codemasters  ,7.4,,0.36,0.45,0.02,0.1,0.93
4038,The Talos Principle,PC,2014,Puzzle,Devolver Digital  ,Croteam  ,,,,,,,
4039,Monster Hunter: World,XOne,2018,Action,Capcom  ,Capcom  ,9.4,,0.67,0.17,,0.09,0.93
4040,LEGO The Lord of the Rings,Wii,2012,Misc,Warner Bros. Interactive Entertainment  ,Unknown  ,,,0.48,0.37,,0.08,0.93
4041,SnoCross Championship Racing,PS,2000,Racing,Crave Entertainment  ,UDS  ,,,0.52,0.35,,0.06,0.93
4042,NCAA Football 13,PS3,2012,Sports,EA Sports  ,EA Tiburon  ,7.1,,0.82,,,0.11,0.93
4043,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom  ,Capcom  ,8.1,,0.44,0.05,0.39,0.05,0.93
4044,NCAA Football 11,X360,2010,Sports,EA Sports  ,EA Tiburon  ,8.5,,0.86,,,0.06,0.93
4045,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami  ,Konami  ,,,0.45,0.35,,0.12,0.92
4046,Top Gun: Combat Zones,PS2,2001,Simulation,Titus  ,Digital Integration  ,,,0.45,0.35,,0.12,0.92
4047,Cars,Wii,2006,Racing,THQ  ,Rainbow Studios  ,,,0.83,0.03,,0.07,0.92
4048,007: The World is not Enough,PS,2000,Shooter,Electronic Arts  ,Black Ops Entertainment  ,6.4,,0.51,0.35,,0.06,0.92
4049,Overwatch,PC,2016,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,9.5,,0.37,0.48,,0.07,0.92
4050,NHL 98,PS,1997,Sports,EA Sports  ,EA Canada  ,,,0.51,0.35,,0.06,0.92
4051,Dante's Inferno,X360,2010,Action,Electronic Arts  ,Visceral Games  ,7.0,,0.63,0.2,0.02,0.08,0.92
4052,Nickelodeon Fit,Wii,2010,Sports,2K Play  ,High Voltage Software  ,,,0.76,0.09,,0.07,0.92
4053,NCAA Football 14,PS3,2013,Sports,EA Sports  ,EA Tiburon  ,7.7,,0.75,,,0.17,0.92
