Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
19001,Winning Post 8 2015,PSV,2015,Sports,Tecmo Koei  ,Koei Tecmo Games  ,,,,,0.03,,0.03
19002,Nippon no Asoko de,PSP,2008,Misc,Sony Computer Entertainment  ,SCEI  ,,,,,0.03,,0.03
19003,Taishou Moebius Line Vitable,PSV,2016,Adventure,Dramatic Create  ,Unknown  ,,,,,0.03,,0.03
19004,MapleStory DS,DS,2010,Role-Playing,Nexon  ,Nexon  ,,,,,0.03,,0.03
19005,Romance of the Three Kingdoms 13 with Power-Up Kit,PS4,2017,Misc,Tecmo Koei  ,Unknown  ,,,,,0.03,,0.03
19006,Pimp My Ride: Street Racing,DS,2009,Racing,Activision  ,Virtuos  ,,,0.03,,,0.0,0.03
19007,Culdcept,PS2,2003,Strategy,NEC Interchannel   ,OmiyaSoft  ,,,0.01,0.01,,0.0,0.03
19008,Homeworld 2,PC,2003,Strategy,Sierra Entertainment  ,Relic  ,8.1,,,0.03,,0.0,0.03
19009,Popeye: Rush for Spinach,GBA,2005,Platform,Namco  ,Magic Pockets  ,,,0.02,0.01,,0.0,0.03
19010,Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996,Role-Playing,NEC  ,HuneX  ,,,,,0.03,,0.03
19011,Codename: Panzers Cold War,PC,2009,Strategy,Atari  ,Stormregion  ,,,,0.03,,0.0,0.03
19012,BeatMania IIDX 15: DJ Troopers,PS2,2008,Simulation,Konami  ,Konami  ,,,,,0.03,,0.03
19013,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,PS3,2015,Adventure,Namco Bandai Games  ,Unknown  ,,,,,0.03,,0.03
19014,Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,Misc,Unknown  ,Fields  ,,,,,0.03,,0.03
19015,Planet of the Apes,GBA,2001,Action,Ubisoft  ,Torus Games  ,,,0.02,0.01,,0.0,0.03
19016,Drake & Josh: Talent Showdown,DS,2007,Adventure,THQ  ,Artificial Mind and Movement  ,,,0.03,,,0.0,0.03
19017,Hissatsu Pachinko Collection 3,SNES,1995,Misc,Sunsoft  ,Daiichi  ,,,,,0.03,0.0,0.03
19018,Real World Golf,XB,2006,Sports,Mad Catz  ,In2Games / Aqua Pacific  ,,,0.02,0.01,,0.0,0.03
19019,Oumagatoki: Kaidan Romance,PSP,2012,Visual Novel,Quinrose  ,QuinRose  ,,,,,0.03,,0.03
19020,Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami  ,Konami  ,,,,,0.03,,0.03
19021,NBA 08,PSP,2007,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.2,,0.03,,,0.0,0.03
19022,Triple Pack: Xbox Live Arcade Compilation,X360,2011,Misc,Microsoft  ,Various  ,,,0.03,,,0.0,0.03
19023,Hayate no Gotoku! Nightmare Paradise,PSP,2009,Adventure,Konami  ,HuneX  ,,,,,0.03,,0.03
19024,Empire Earth II,PC,2005,Strategy,VU Games  ,Mad Doc Software  ,8.0,,,0.03,,0.0,0.03
19025,Forza Motorsport 4: December IGN Pack,XBL,2011,Racing,Microsoft Studios  ,Turn 10  ,,,0.01,0.02,,0.0,0.03
19026,Knights of Honor,PC,2005,Strategy,Paradox Interactive   ,Black Sea Studios  ,,,,0.03,,0.0,0.03
19027,Koihime Enbu,PS4,2016,Fighting,Yeti  ,Boss Alien Ltd.  ,,,,,0.03,,0.03
19028,NBA 2K13,PC,2012,Sports,2K Sports  ,Visual Concepts  ,9.1,,0.0,0.02,,0.0,0.03
19029,Shinsei Batteki Drive Girls,PSV,2017,Action,Aksys Games  ,Bergsala Lightweight  ,,,0.01,0.0,0.01,0.0,0.03
19030,Nanashi no Game Me,DS,2009,Action,Square Enix  ,Square Enix  ,,,,,0.03,,0.03
19031,Road Rage,PS4,2017,Racing,Maximum Games  ,Team 6 Games Studio  ,,,0.02,,,0.01,0.03
19032,Star Trek: The Game,PC,2013,Action-Adventure,Namco Bandai Games  ,Digital Extremes  ,,,0.0,0.02,,0.0,0.03
19033,Criminal Girls 2: Party Favors,PSV,2016,Role-Playing,NIS America  ,Nippon Ichi Software  ,,,0.03,0.01,0.03,0.01,0.09
19034,Senjou no Waltz,PSV,2014,Adventure,Idea Factory  ,Idea Factory  ,,,,,0.03,,0.03
19035,DICE: DNA Integrated Cybernetic Enterprises,PS2,2005,Shooter,Bandai  ,Natsume  ,,,0.01,0.01,,0.0,0.03
19036,MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games  ,Rainbow Studios  ,,,0.02,0.01,,0.01,0.03
19037,Megpoid the Music#,PSP,2013,Music,Asgard  ,ParaPhray  ,,,,,0.03,,0.03
19038,Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,DS,2007,Action,Namco Bandai  ,Bandai Namco Games  ,,,,,0.03,,0.03
19039,The Croods: Prehistoric Party!,WiiU,2013,Action,D3Publisher  ,Torus Games Pty. Ltd.  ,,,0.01,0.02,,0.0,0.03
19040,Dragon Quest X: All in One Package Ver.1-4,NS,2018,MMO,Square Enix  ,Square Enix  ,,,,,0.03,,0.03
19041,Wallace & Gromit in Project Zoo,XB,2003,Platform,BAM! Entertainment  ,Frontier Developments  ,,,0.02,0.01,,0.0,0.03
19042,Grid Runner,PS,1996,Action,Virgin Interactive  ,Radical Entertainment  ,,,0.02,0.01,,0.0,0.03
19043,Metal Dungeon,XB,2002,Role-Playing,Xicat Interactive  ,Panther Software  ,,,0.02,0.01,,0.0,0.03
19044,Saihai no Yukue,DS,2008,Strategy,KOEI  ,Omega Force  ,,,,,0.03,,0.03
19045,Drome Racers,GC,2003,Racing,Electronic Arts  ,Attention To Detail  ,,,0.02,0.01,,0.0,0.03
19046,Guitar Freaks V & DrumMania V,PS2,2006,Simulation,Konami  ,Konami  ,,,,,0.03,,0.03
19047,Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,DS,2009,Adventure,Level 5  ,Level 5  ,,,,,0.03,,0.03
19048,Penny-Punching Princess,NS,2018,Misc,NIS America  ,Nippon Ichi Software  ,6.5,9.0,0.03,,,0.0,0.03
