Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
28001,Captain Comic,PC,1988,Platform,ComputerEasy  ,Color Dreams  ,,,,,,,
28002,Captain Comic II: Fractured Reality,PC,1990,Platform,ComputerEasy  ,Color Dreams  ,,,,,,,
28003,Captain Comic: The Adventure,NES,1989,Platform,ComputerEasy  ,Color Dreams  ,,,,,,,
28004,Captain Commando,SNES,1995,Action,Capcom  ,Capcom  ,,,,,,,
28005,Captain Commando,PS,1998,Action,New  ,Capcom  ,,,,,,,
28006,Captain Knick-Knack,GB,1999,Action,Sachen  ,sachen  ,,,,,,,
28007,Captain Novolin,SNES,1992,Platform,Raya System  ,Sculptured Software  ,,,,,,,
28008,Captain Planet,PC,1992,Action,Mindscape  ,Mindscape  ,,,,,,,
28009,Captain Planet and the Planeteers,NES,1991,Platform,Mindscape  ,Chris Gray Enterprises  ,,,,,,,
28010,Captain Planet and the Planeteers,GEN,1993,Platform,Sega  ,NovaLogic  ,,,,,,,
28011,Captain Power and the Soldiers of the Future,PC,1988,Action,Unknown  ,"Box Office, Inc.  ",,,,,,,
28012,Captain Quazar,3DO,1995,Shooter,Panasonic Interactive Media  ,3DO  ,,,,,,,
28013,Captain Quazar,PC,1996,Shooter,3DO  ,3DO  ,,,,,,,
28014,Captain Rave!!,PS,1999,Strategy,Toshiba EMI   ,Toshiba EMI  ,,,,,,,
28015,Captain Scarlet,PS2,2006,Racing,Blast! Entertainment Ltd  ,Brain in a Jar  ,,,,,,,
28016,Captain Silver,MS,1988,Platform,Sega  ,Sega  ,,,,,,,
28017,Captain Silver,NES,1988,Platform,Tokuma Shoten  ,Tokuma Shoten  ,,,,,,,
28018,Captain Skyhawk,NES,1990,Shooter,Milton Bradley  ,Rare Ltd.  ,,,,,,,
28019,Captain Tsubasa,SCD,1994,Sports,Tecmo  ,Tecmo  ,,,,,,,
28020,Captain Tsubasa II: Super Striker,NES,1990,Sports,Tecmo  ,Tecmo  ,,,,,,,
28021,Captain Tsubasa III: Koutei no Chousen,SNES,1992,Sports,Tecmo  ,Tecmo  ,,,,,,,
28022,Captain Tsubasa IV: Pro no Rival Tachi,SNES,1993,Sports,Tecmo  ,Tecmo  ,,,,,,,
28023,Captain Tsubasa J: Get in the Tomorrow,PS,1995,Sports,Bandai  ,Bandai  ,,,,,,,
28024,Captain Tsubasa J: Zenkoku Seiha e no Chousen,GB,1995,Sports,Bandai  ,Bandai  ,,,,,,,
28025,Captain Tsubasa V: Hasha no Shougou Campione,SNES,1994,Sports,Tecmo  ,Tecmo  ,,,,,,,
28026,Captain Tsubasa VS,GB,1992,Sports,Tecmo  ,Graphic Research  ,,,,,,,
