Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
46001,Sega Ages: Galaxy Force II,SAT,1998,Shooter,Sega  ,Sega  ,,,,,,,
46002,Sega Ages: OutRun,SAT,1996,Racing,Sega  ,Sega  ,,,,,,,
46003,Sega Ages: Phantasy Star Collection,SAT,1998,Role-Playing,Sega  ,Sega  ,,,,,,,
46004,Sega Ages: Power Drift,SAT,1998,Racing,Sega  ,Sega-AM2  ,,,,,,,
46005,Sega Bass Fishing,DC,1999,Sports,Sega  ,SIMS  ,8.2,,,,,,
46006,Sega Bass Fishing,PC,2001,Sports,Activision  ,Sega-AM1  ,,,,,,,
46007,Sega Bass Fishing,PSN,N/A,Sports,Unknown  ,SIMS  ,,,,,,,
46008,Sega Bass Fishing,XBL,2011,Sports,Sega  ,SIMS  ,,,,,,,
46009,Sega Bass Fishing 2,DC,2001,Sports,Sega  ,Wow Entertainment  ,7.9,,,,,,
46010,Sega Chess,MS,1991,Strategy,Sega  ,Sega  ,,,,,,,
46011,Sega Classics Arcade Collection (4-in-1),SCD,1992,Misc,Sega  ,Sega  ,,,,,,,
46012,Sega Classics Arcade Collection (5-in-1),SCD,1994,Misc,Sega  ,Sega  ,,,,,,,
46013,Sega DreamCast Generator: Playable Bits and Video Clips Vol.1,DC,1999,Misc,Sega  ,Sega  ,,,,,,,
46014,Sega Game Pack 4in1,GG,1991,Misc,Sega  ,Sega  ,,,,,,,
46015,sega game pack 4in1,GG,N/A,Misc,Unknown  ,SEGA Enterprises Ltd.  ,,,,,,,
46016,Sega Genesis Classic Collection: Gold Edition,PC,2011,Misc,Sega  ,Sega  ,,,,,,,
46017,Sega Genesis Collection,PSN,2009,Misc,Sega  ,Sega  ,,,,,,,
46018,Sega Genesis Collection,NG,1999,Misc,SNK Playmore  ,Unknown  ,,,,,,,
46019,Sega GT,PC,2001,Racing,Sega  ,Wow Entertainment  ,,,,,,,
46020,Sega GT 2002 & JSRF: Jet Set Radio Future,XB,2002,Misc,Sega  ,Wow Entertainment / Smilebit  ,,,,,,,
