Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55001,ACA NEOGEO POWER SPIKES II,PS4,2018,Sports,Hamster Corporation  ,Video System  ,,,,,,,
55002,ACA NEOGEO PREHISTORIC ISLE 2,NS,2018,Action,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55003,ACA NEOGEO PREHISTORIC ISLE 2,XOne,2018,Action,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55004,ACA NEOGEO PULSTAR,NS,2017,Shooter,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55005,ACA NEOGEO PULSTAR,XOne,2017,Shooter,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55006,ACA NEOGEO PULSTAR,PS4,2017,Shooter,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55007,ACA NEOGEO PUZZLED,NS,2017,Puzzle,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55008,ACA NEOGEO PUZZLED,XOne,2017,Puzzle,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55009,ACA NEOGEO PUZZLED,PS4,2017,Puzzle,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55010,ACA NEOGEO REAL BOUT FATAL FURY,XOne,2017,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55011,ACA NEOGEO REAL BOUT FATAL FURY,NS,2018,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55012,ACA NEOGEO REAL BOUT FATAL FURY,PS4,2017,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55013,ACA NEOGEO REAL BOUT FATAL FURY 2,XOne,2018,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55014,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,XOne,2017,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55015,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,PS4,2018,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
55016,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,NS,2018,Fighting,Hamster Corporation  ,SNK Corporation  ,,,,,,,
