Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
59001,Heart of the Woods,NS,2020,Visual Novel,Sekai Project  ,Studio Elan  ,,,,,,,
59002,Heart&Slash,NS,2017,Action,Badland Games  ,Aheartfulofgames  ,,,,,,,
59003,Heartbound,PC,2018,Adventure,Pirate Software  ,Pirate Software  ,,,,,,,
59004,Hearthstone: Heroes of Warcraft,And,2015,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
59005,Heave Ho,NS,N/A,Action,Unknown  ,Le Cartel Studio  ,,,,,,,
59006,Heave Ho,PC,N/A,Action,Unknown  ,Le Cartel Studio  ,,,,,,,
59007,Heaven Forest - VR MMO,PC,2016,MMO,Chubby Pixel  ,Fabio Ferrara  ,,,,,,,
59008,Heavy Rain,PC,2019,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,,,,,
59009,Hell Fighter,NES,N/A,Action,Unknown  ,Thin Chen Enterprises  ,,,,,,,
59010,Hell is Us,XS,N/A,Action-Adventure,Unknown  ,Rogue Factor  ,,,,,,,
59011,Hell is Us,PS5,N/A,Action-Adventure,Unknown  ,Rogue Factor  ,,,,,,,
59012,Hell is Us,PC,N/A,Action-Adventure,Unknown  ,Rogue Factor  ,,,,,,,
59013,Hell Yeah! the Wrath of the Dead Rabbit,X360,N/A,Platform,Unknown  ,Arkedo Studio  ,,,,,,,
59014,Hell Yeah! the Wrath of the Dead Rabbit,PS3,N/A,Platform,Unknown  ,Arkedo Studio  ,,,,,,,
59015,Hellblade: Senua's Sacrifice,NS,2019,Action-Adventure,Ninja Theory  ,Ninja Theory  ,,,,,,,
59016,Hellboy Web of Wyrd,XS,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59017,Hellboy Web of Wyrd,XOne,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59018,Hellboy Web of Wyrd,PS5,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59019,Hellboy Web of Wyrd,PS4,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59020,Hellboy Web of Wyrd,PC,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59021,Hellboy Web of Wyrd,NS,N/A,Action-Adventure,Unknown  ,Upstream Arcade  ,,,,,,,
59022,Helldivers 2,PS5,1924,Shooter,Sony Interactive Entertainment  ,Arrowhead Game Studios  ,,,,,,,
59023,Helldivers 2,PC,N/A,Shooter,Unknown  ,Arrowhead Game Studios  ,,,,,,,
59024,Hello Engineer,XS,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59025,Hello Engineer,XOne,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59026,Hello Engineer,PS5,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59027,Hello Engineer,PS4,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59028,Hello Engineer,NS,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59029,Hello Engineer: Scrap Machines Constructor,PC,N/A,Simulation,Unknown  ,TinyBuild Games  ,,,,,,,
59030,Hello Kitty Island Adventure,PS5,N/A,Adventure,Unknown  ,Sunblink  ,,,,,,,
59031,Hello Kitty Island Adventure,PS4,N/A,Adventure,Unknown  ,Sunblink  ,,,,,,,
59032,Hello Kitty Island Adventure,PC,N/A,Adventure,Unknown  ,Sunblink  ,,,,,,,
59033,Hello Kitty Island Adventure,NS,N/A,Adventure,Unknown  ,Sunblink  ,,,,,,,
59034,Hello Kitty Island Adventure,iOS,N/A,Adventure,Unknown  ,Sunblink  ,,,,,,,
59035,Hello Neighbor 2,XS,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59036,Hello Neighbor 2,XOne,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59037,Hello Neighbor 2,PS5,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59038,Hello Neighbor 2,PS4,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59039,Hello Neighbor 2,PC,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59040,Hello Neighbor 2,NS,N/A,Action,Unknown  ,TinyBuild Games  ,,,,,,,
59041,Hello Neighbor VR: Search and Rescue,PS5,N/A,Action,Unknown  ,Steel Wool Studios  ,,,,,,,
59042,Hello Neighbor VR: Search and Rescue,PS4,N/A,Action,Unknown  ,Steel Wool Studios  ,,,,,,,
59043,Hello Neighbor VR: Search and Rescue,PC,N/A,Action,Unknown  ,Steel Wool Studios  ,,,,,,,
59044,Hellpoint,XOne,2020,Role-Playing,TinyBuild Games  ,Cradle Games  ,,,,,,,
59045,Hellpoint,PS4,2020,Role-Playing,TinyBuild Games  ,Cradle Games  ,,,,,,,
59046,Hellpoint,PC,2020,Role-Playing,TinyBuild Games  ,Cradle Games  ,,,,,,,
59047,Hellpoint,NS,2020,Role-Playing,TinyBuild Games  ,Cradle Games  ,,,,,,,
59048,Helmet Heroes,PC,2016,Adventure,Helmet Games  ,Helmet Games  ,,,,,,,
59049,Her Majesty's SPIFFING,NS,2018,Adventure,Billy Goat Entertainment  ,Billy Goat Entertainment  ,,,,,,,
59050,Her Majesty's SPIFFING,XOne,N/A,Adventure,Unknown  ,Billy Goat Entertainment  ,,,,,,,
59051,Her Majesty's SPIFFING,PS4,N/A,Adventure,Unknown  ,Billy Goat Entertainment  ,,,,,,,
59052,Her Story,OSX,N/A,Adventure,Unknown  ,Sam Barlow  ,,,,,,,
59053,Her Story,And,N/A,Adventure,Unknown  ,Sam Barlow  ,,,,,,,
59054,Hero Must Die. Again,PS4,2020,Role-Playing,Degica  ,Pyramid  ,,,,,,,
59055,Hero Must Die. Again,NS,2020,Role-Playing,Degica  ,Pyramid  ,,,,,,,
59056,Hero Must Die. Again,PC,2020,Role-Playing,Degica  ,Pyramid  ,,,,,,,
59057,Hero of the Kingdom III,PC,2018,Role-Playing,Lonely Troops  ,Lonely Troops  ,,,,,,,
59058,Heroes in the Sky-Origin,PC,N/A,Simulation,Unknown  ,GameUS Inc.  ,,,,,,,
59059,Heroes of SoulCraft - Arcade MOBA,PC,2015,Action,MobileBits GmbH  ,MobileBits GmbH  ,,,,,,,
59060,Heroes of the Monkey Tavern,NS,2017,Role-Playing,Monkey Stories Games  ,Monkey Stories Games  ,,,,,,,
59061,Heroes of the Storm,PC,N/A,Action,Unknown  ,Blizzard Entertainment  ,,,,,,,
59062,Heroine's Quest: The Herald of Ragnarok,PC,2014,Role-Playing,Crystal Shard  ,Crystal Shard  ,,,,,,,
59063,Heroland,PS4,2019,Role-Playing,Xseed Games  ,FuRyu  ,,,,,,,
59064,Heroland,NS,2019,Role-Playing,Xseed Games  ,FuRyu  ,,,,,,,
59065,Hexcells Plus,PC,N/A,Puzzle,Unknown  ,Matthew Brown  ,,,,,,,
59066,Hi-Fi RUSH,XS,N/A,Action-Adventure,Unknown  ,Tango Gameworks  ,,,,,,,
59067,Hi-Fi RUSH,PC,N/A,Action-Adventure,Unknown  ,Tango Gameworks  ,,,,,,,
59068,Hi-Fi RUSH,PS5,N/A,Action,Unknown  ,Tango Gameworks  ,,,,,,,
59069,Hi-Fi RUSH,All,1923,Action,Bethesda Softworks  ,Tango Gameworks  ,,,,,,,
59070,Hidden Runaway,PC,N/A,Adventure,Unknown  ,Pendulo Studios  ,,,,,,,
59071,Hidden Through Time 2: Myths & Magic,PC,N/A,Adventure,Unknown  ,Rogueside  ,,,,,,,
59072,Hidden Through Time 2: Myths & Magic,NS,N/A,Adventure,Unknown  ,Rogueside  ,,,,,,,
59073,Hidden Through Time 2: Myths & Magic,PS5,N/A,Adventure,Unknown  ,Rogueside  ,,,,,,,
